title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language,year_classify
Pather Panchali,Bollywood,1955,8.3,Government of West Bengal,70000.0,100000.0,Thousands,INR,Bengali,Before 2000
Doctor Strange in the Multiverse of Madness,Hollywood,2022,7.0,Marvel Studios,200.0,954.8,Millions,USD,English,After 2000
Thor: The Dark World ,Hollywood,2013,6.8,Marvel Studios,165.0,644.8,Millions,USD,English,After 2000
Thor: Ragnarok ,Hollywood,2017,7.9,Marvel Studios,180.0,854.0,Millions,USD,English,After 2000
Thor: Love and Thunder ,Hollywood,2022,6.8,Marvel Studios,250.0,670.0,Millions,USD,English,After 2000
The Shawshank Redemption,Hollywood,1994,9.3,Castle Rock Entertainment,25.0,73.3,Millions,USD,English,Before 2000
Interstellar,Hollywood,2014,8.6,Warner Bros. Pictures,165.0,701.8,Millions,USD,English,After 2000
The Pursuit of Happyness,Hollywood,2006,8.0,Columbia Pictures,55.0,307.1,Millions,USD,English,After 2000
Gladiator,Hollywood,2000,8.5,Universal Pictures  ,103.0,460.5,Millions,USD,English,Before 2000
Titanic,Hollywood,1997,7.9,Paramount Pictures,200.0,2202.0,Millions,USD,English,Before 2000
It's a Wonderful Life,Hollywood,1946,8.6,Liberty Films,3.18,3.3,Millions,USD,English,Before 2000
Avatar,Hollywood,2009,7.8,20th Century Fox,237.0,2847.0,Millions,USD,English,After 2000
The Godfather,Hollywood,1972,9.2,Paramount Pictures,7.2,291.0,Millions,USD,English,Before 2000
The Dark Knight,Hollywood,2008,9.0,Syncopy,185.0,1006.0,Millions,USD,English,After 2000
Schindler's List,Hollywood,1993,9.0,Universal Pictures,22.0,322.2,Millions,USD,English,Before 2000
Jurassic Park,Hollywood,1993,8.2,Universal Pictures,63.0,1046.0,Millions,USD,English,Before 2000
Parasite,Hollywood,2019,8.5,,15.5,263.1,Millions,USD,English,After 2000
Avengers: Endgame,Hollywood,2019,8.4,Marvel Studios,400.0,2798.0,Millions,USD,English,After 2000
Avengers: Infinity War,Hollywood,2018,8.4,Marvel Studios,400.0,2048.0,Millions,USD,English,After 2000
Captain America: The First Avenger,Hollywood,2011,6.9,Marvel Studios,216.7,370.6,Millions,USD,English,After 2000
Captain America: The Winter Soldier,Hollywood,2014,7.8,Marvel Studios,177.0,714.4,Millions,USD,English,After 2000
Dilwale Dulhania Le Jayenge,Bollywood,1995,8.0,Yash Raj Films,400.0,2000.0,Millions,INR,Hindi,Before 2000
3 Idiots,Bollywood,2009,8.4,Vinod Chopra Films,550.0,4000.0,Millions,INR,Hindi,After 2000
Kabhi Khushi Kabhie Gham,Bollywood,2001,7.4,Dharma Productions,390.0,1360.0,Millions,INR,Hindi,After 2000
Bajirao Mastani ,Bollywood,2015,7.2,,1.4,3.5,Billions,INR,Hindi,After 2000
Taare Zameen Par,Bollywood,2007,8.3,,120.0,1350.0,Millions,INR,Hindi,After 2000
Munna Bhai M.B.B.S.,Bollywood,2003,8.1,Vinod Chopra Productions,100.0,410.0,Millions,INR,Hindi,After 2000
PK,Bollywood,2014,8.1,Vinod Chopra Films,850.0,8540.0,Millions,INR,Hindi,After 2000
Sanju,Bollywood,2018,,Vinod Chopra Films,1.0,5.9,Billions,INR,Hindi,After 2000
The Kashmir Files,Bollywood,2022,8.3,Zee Studios,250.0,3409.0,Millions,INR,Hindi,After 2000
Bajrangi Bhaijaan,Bollywood,2015,8.1,Salman Khan Films,900.0,11690.0,Millions,INR,Hindi,After 2000
Race 3,Bollywood,2018,1.9,Salman Khan Films,1.8,3.1,Billions,INR,Hindi,After 2000
Shershaah,Bollywood,2021,8.4,Dharma Productions,500.0,950.0,Millions,INR,Hindi,After 2000
K.G.F: Chapter 2,Bollywood,2022,8.4,Hombale Films,1.0,12.5,Billions,INR,Kannada,After 2000
Pushpa: The Rise - Part 1,Bollywood,2021,7.6,Mythri Movie Makers,2.0,3.6,Billions,INR,Telugu,After 2000
RRR,Bollywood,2022,8.0,DVV Entertainment,5.5,12.0,Billions,INR,Telugu,After 2000
Baahubali: The Beginning,Bollywood,2015,8.0,Arka Media Works,1.8,6.5,Billions,INR,Telugu,After 2000
